,values,ind
713,ERS1801157,ET-Firmicutes
714,ERS1801155,ET-Firmicutes
715,ERS1801154,ET-Firmicutes
716,ERS1801150,ET-Firmicutes
717,ERS1801149,ET-Firmicutes
718,ERS1801148,ET-Firmicutes
719,ERS1801146,ET-Firmicutes
720,ERS1801145,ET-Firmicutes
721,ERS1801144,ET-Firmicutes
722,ERS1801143,ET-Firmicutes
723,ERS1801142,ET-Firmicutes
724,ERS1801141,ET-Firmicutes
725,ERS1801094,ET-Firmicutes
726,ERS1801138,ET-Firmicutes
727,ERS1801093,ET-Firmicutes
728,ERS1801137,ET-Firmicutes
729,ERS1801135,ET-Firmicutes
730,ERS1801134,ET-Firmicutes
731,ERS1801133,ET-Firmicutes
732,ERS1801130,ET-Firmicutes
733,ERS1801129,ET-Firmicutes
734,ERS1801092,ET-Firmicutes
735,ERS1801091,ET-Firmicutes
736,ERS1801090,ET-Firmicutes
737,ERS1801128,ET-Firmicutes
738,ERS1801120,ET-Firmicutes
739,ERS1801121,ET-Firmicutes
740,ERS1801117,ET-Firmicutes
741,ERS1801115,ET-Firmicutes
742,ERS1801305,ET-Firmicutes
743,ERS1801306,ET-Firmicutes
744,ERS1801313,ET-Firmicutes
745,ERS1801314,ET-Firmicutes
746,ERS1801315,ET-Firmicutes
747,ERS1801320,ET-Firmicutes
748,ERS1801326,ET-Firmicutes
749,ERS1801321,ET-Firmicutes
750,ERS1801295,ET-Firmicutes
751,ERS1801294,ET-Firmicutes
752,ERS1801291,ET-Firmicutes
753,ERS1801290,ET-Firmicutes
754,ERS1801286,ET-Firmicutes
755,ERS1801284,ET-Firmicutes
756,ERS1801283,ET-Firmicutes
